-3.618654,1.176798,8.718112
-3.932467,1.637711,8.590626
-3.893240,1.353318,8.757339
-3.550007,2.245723,8.561206
-3.697107,1.382738,8.325846
-4.618932,0.235360,7.943387
-4.560092,-0.823759,8.237586
-3.393101,-0.676659,8.816178
-2.559536,-0.088260,8.747532
-0.617819,-0.353039,9.286898
-2.775282,-0.676659,9.247671
-3.638267,-0.156906,10.542150
-1.461191,0.627626,9.708584
1.804424,-0.755112,7.149048
5.609404,0.166713,5.207331
5.785923,0.490333,6.403742
9.502644,-0.411879,4.785645
9.453610,-0.666852,6.717556
6.482196,0.058840,6.541036
3.049868,0.676659,11.424747
2.510503,0.049033,14.680555
3.010642,-0.058840,13.062458
1.549451,-0.657046,10.208723
1.029698,-0.186326,1.019892
-1.794617,0.176520,6.070317
-2.079010,-0.088260,9.129992
-1.882877,-0.127486,9.934136
0.254973,-0.137293,9.826263
0.058840,-0.098067,9.708584
0.509946,-0.098067,9.806650
0.509946,-0.098067,9.747810
0.509946,-0.117680,9.777230
0.441299,-0.049033,9.777230
0.480526,-0.127486,9.688971
0.294199,-0.156906,9.894910
0.500139,-0.127486,9.796844
0.441299,-0.215746,10.012590
0.480526,-0.137293,9.757617
-0.833565,-0.166713,10.365629
-0.872792,0.343233,10.993256
1.716164,0.862985,10.493116
2.461469,0.411879,8.217973
0.617819,1.814230,9.512451
0.274586,0.598206,6.688135
3.706914,-0.078453,8.247393
-2.892962,1.559257,10.640216
1.098345,-1.284671,9.473225
0.647239,-0.107873,9.845877
0.235360,-0.127486,9.708584
0.715885,-0.088260,9.914524
0.578592,-0.068647,9.610518
0.588399,-0.088260,9.796844
0.617819,-0.049033,9.728197
0.519752,-0.078453,9.757617
0.500139,-0.049033,9.757617
0.509946,-0.058840,9.718390
0.519752,-0.068647,9.728197
0.519752,-0.068647,9.757617
0.539366,-0.039227,9.845877
0.451106,-0.039227,9.757617
0.509946,-0.147100,9.659551
0.431493,-0.049033,9.728197
0.470719,-0.068647,9.551677
0.421686,-0.058840,9.728197
0.470719,-0.058840,9.747810
0.578592,-0.078453,9.718390
0.500139,-0.068647,9.747810
